tabela_num;nivel_geo;localidade;sigla_uf;tipo_recorte;categoria_recorte;indicador;ano;valor;unidade;faixa;ranking_ano;total_ranking;ranking_publicacao;classificacao_publicacao
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2017;0.709;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2017;0.798;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2017;0.765;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2017;0.906;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2017;0.76;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2017;0.65;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2018;0.769;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2018;0.792;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2018;0.719;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2018;0.798;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2018;0.774;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2018;0.908;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2018;0.769;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2018;0.663;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2019;0.776;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2019;0.797;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2019;0.73;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2019;0.804;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2019;0.777;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2019;0.91;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2019;0.78;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2019;0.662;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2020;0.767;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2020;0.77;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2020;0.739;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2020;0.793;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2020;0.773;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2020;0.892;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2020;0.788;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2020;0.657;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2021;0.749;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2021;0.738;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2021;0.731;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2021;0.779;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2021;0.755;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2021;0.857;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2021;0.774;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2021;0.649;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2022;0.783;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2022;0.785;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2022;0.759;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2022;0.805;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2022;0.783;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2022;0.897;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2022;0.802;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2022;0.667;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2023;0.795;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2023;0.801;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2023;0.773;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2023;0.812;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2023;0.791;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2023;0.911;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2023;0.806;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2023;0.674;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2024;0.802;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2024;0.805;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2024;0.779;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2024;0.822;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2024;0.798;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2024;0.915;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2024;0.817;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2024;0.679;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2012;0.804;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2012;0.89;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2012;0.748;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2012;0.781;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2012;0.694;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2012;0.8;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2012;0.623;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2012;0.67;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2013;0.809;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2013;0.894;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2013;0.755;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2013;0.785;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2013;0.704;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2013;0.804;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2013;0.641;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2013;0.677;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2014;0.818;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2014;0.899;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2014;0.772;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2014;0.789;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2014;0.712;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2014;0.807;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2014;0.656;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2014;0.682;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2015;0.82;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2015;0.904;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2015;0.777;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2015;0.784;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2015;0.717;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2015;0.81;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2015;0.67;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2015;0.679;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2016;0.828;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2016;0.91;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2016;0.793;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2016;0.786;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2016;0.721;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2016;0.814;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2016;0.683;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2016;0.673;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2017;0.828;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2017;0.914;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2017;0.791;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2017;0.786;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2017;0.727;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2017;0.818;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2017;0.694;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2017;0.677;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2018;0.834;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2018;0.918;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2018;0.797;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2018;0.793;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2018;0.736;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2018;0.825;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2018;0.707;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2018;0.684;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2019;0.839;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2019;0.919;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2019;0.808;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2019;0.796;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2019;0.742;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2019;0.831;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2019;0.719;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2019;0.685;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2020;0.83;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2020;0.898;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2020;0.811;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2020;0.786;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2020;0.739;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2020;0.808;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2020;0.731;Índice;Alto;;;;
